,customerID,Churn,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_PaperlessBilling,account_Charges_Monthly,account_Charges_Total,customer_gender_Male,internet_InternetService_Fiber optic,internet_InternetService_No,account_Contract_One year,account_Contract_Two year,account_PaymentMethod_Credit card (automatic),account_PaymentMethod_Electronic check,account_PaymentMethod_Mailed check
0,0002-ORFBO,0,0,1,1,9,1,0,0,1,0,1,1,0,1,65.6,593.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0003-MKNFE,0,0,0,0,9,1,1,0,0,0,0,0,1,0,59.9,542.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0004-TLHLJ,1,0,0,0,4,1,0,0,0,1,0,0,0,1,73.9,280.85,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,0011-IGKFF,1,1,1,0,13,1,0,0,1,1,0,1,1,1,98.0,1237.85,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4,0013-EXCHZ,1,1,1,0,3,1,0,0,0,0,1,1,0,1,83.9,267.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5,0013-MHZWF,0,0,0,1,9,1,0,0,0,0,1,1,1,1,69.4,571.45,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,0013-SMEOE,0,1,1,0,71,1,0,1,1,1,1,1,1,1,109.7,7904.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7,0014-BMAQU,0,0,1,0,63,1,1,1,0,0,1,0,0,1,84.65,5377.8,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8,0015-UOCOJ,0,1,0,0,7,1,0,1,0,0,0,0,0,1,48.2,340.35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,0016-QLJIS,0,0,1,1,65,1,1,1,1,1,1,1,1,1,90.45,5957.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10,0017-DINOC,0,0,0,0,54,0,0,1,0,0,1,1,0,0,45.2,2460.55,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11,0017-IUDMW,0,0,1,1,72,1,1,1,1,1,1,1,1,1,116.8,8456.75,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
